name,university,category,description,x_id,instagram_id,line_url,website_url,member_count,activity_frequency,logo_url,is_verified
フィールドホッケー部,一橋大学,運動系（スポーツ・アウトドア）,,@hit_hockey_2022,@hit_field_hockey,,,,,,FALSE
軽音楽部,一橋大学,運動系（スポーツ・アウトドア）,,@hit_k_on_,@hitotsubashi_keion,,,,,,FALSE
STAY GOLD,一橋大学,趣味・その他,,@2020staygold,@hit_staygold2023_futsal,,,,,,FALSE
一橋祭運営委員会,一橋大学,趣味・その他,,@ikkyosai,@ikkyosai,,https://campus-map.jp/hit/club/64/,,月9日,,FALSE
一橋新聞部,一橋大学,運動系（スポーツ・アウトドア）,,@hitpress,@hit_press1924,,https://note.com/cogitomember/n/n88d427dd4328,,,,FALSE
KODAIRA祭実行委員会,一橋大学,イベント・企画（インカレ・学園祭等）,,@KODAIRAfes,@kodairafes,,https://campus-map.jp/hit/club/101/,,週３日,,FALSE
新入生歓迎委員会,一橋大学,趣味・その他,,@hit_u_ski,@hit_u_ski,,https://hit-shinkan.com/,,,,FALSE
体育会合気道部,一橋大学,運動系（スポーツ・アウトドア）,,@hit_aiki,@hit_aiki,,https://campus-map.jp/hit/club/7/,,週3回,,FALSE
体育会アイスホッケー部,一橋大学,運動系（スポーツ・アウトドア）,,@hit_icehockey19,@hiticehockey,,https://www.hit-icehockey.com/blog,,週3回,,FALSE
アメリカンフットボール部CRIMSON,一橋大学,運動系（スポーツ・アウトドア）,,@HUcrimson,@hucrimson,,https://campus-map.jp/hit/club/16/,,週5回,,FALSE
体育会應援部,一橋大学,運動系（スポーツ・アウトドア）,,@hitouenbu,@hit.ouenbu,,https://ikkyosai.com/magazine/wordpress/archives/166,,月６日,,FALSE
空手道部,一橋大学,運動系（スポーツ・アウトドア）,,@hit_karateteam,@hit_karatedo_2020,,https://campus-map.jp/hit/club/22/,,週４回,,FALSE
体育会弓道部,一橋大学,運動系（スポーツ・アウトドア）,,@1900hit_kyudo,@hit.kyudo2023,,https://campus-map.jp/hit/club/25/,41人,週4日,,FALSE
ALL一橋競技ダンス部,一橋大学,運動系（スポーツ・アウトドア）,,@hitotsuba_brdc,@hitotsubashi_ballroom,,https://campus-map.jp/hit/club/100/,,月9日,,FALSE
剣道部,一橋大学,運動系（スポーツ・アウトドア）,,@hitoken_yubikan,@hitotsubashi_kendo,,https://campus-map.jp/hit/club/29/,,週4回,,FALSE
体育会硬式庭球部（男子）,一橋大学,運動系（スポーツ・アウトドア）,,@hit__tennis,@hit_tennis1894,,https://campus-map.jp/hit/club/46/,,月4日,,FALSE
体育会硬式庭球部（女子）,一橋大学,運動系（スポーツ・アウトドア）,,@hit_tennis_girl,@hit_tennis_girls_,,https://campus-map.jp/hit/club/46/,,月4日,,FALSE
硬式野球部,一橋大学,運動系（スポーツ・アウトドア）,,@hit_baseball,@hit.baseball,,https://hitotsubashi-bbc.com/wp-content/uploads/%E4%B8%80%E7%90%83%E9%80%9A%E4%BF%A1vol.159.pdf,,,,FALSE
体育会ゴルフ部,一橋大学,運動系（スポーツ・アウトドア）,,@churogerwoods,@hitgolfclub,,https://1284golf.com/,,,,FALSE
体育会サイクリング部,一橋大学,運動系（スポーツ・アウトドア）,,@hitucycle1,@hit_chari,,https://campus-map.jp/hit/club/16443/,,週１回,,FALSE
ア式蹴球部,一橋大学,運動系（スポーツ・アウトドア）,,@handyman_saito,@fcikkyo,,https://campus-map.jp/hit/club/82/,,週6日,,FALSE
一橋山岳部,一橋大学,運動系（スポーツ・アウトドア）,,@alpine_hit,@hitotsubashi_alpine,,https://campus-map.jp/hit/club/81/,,週に1回,,FALSE
柔道部,一橋大学,運動系（スポーツ・アウトドア）,,@hitjudo1899,@hit_judo,,https://campus-map.jp/hit/club/32/,,週5回,,FALSE
準硬式野球部,一橋大学,運動系（スポーツ・アウトドア）,,@junkohitu,@junko_hitu2025,,https://campus-map.jp/hit/club/89/,,週5回,,FALSE
少林寺拳法部,一橋大学,運動系（スポーツ・アウトドア）,,@hittsuda,@hittsuda_shorinjikempo,,https://campus-map.jp/hit/club/108/,,週3回,,FALSE
女子ラクロス部,一橋大学,運動系（スポーツ・アウトドア）,,@hit_g_lax,@hitotsubashi_glax,,https://campus-map.jp/hit/club/74/,1人,週5回,,FALSE
男子ラクロス部,一橋大学,運動系（スポーツ・アウトドア）,,@blog,@serpentslax,,https://campus-map.jp/hit/club/79/,,週5回,,FALSE
水泳部,一橋大学,運動系（スポーツ・アウトドア）,,@hit_swim2023,@swimshinkan2022,,https://campus-map.jp/hit/club/17/,,週3日,,FALSE
体育会スキー部,一橋大学,運動系（スポーツ・アウトドア）,,@bosque47881022,@hit_ski,,https://campus-map.jp/hit/club/47/,,週3回,,FALSE
ソフトテニス部（男子）,一橋大学,運動系（スポーツ・アウトドア）,,@softtennis_hit,@softtennis.hit,,https://ww.twstalker.com/softtennis_hit,,,,FALSE
ソフトテニス部（女子）,一橋大学,運動系（スポーツ・アウトドア）,,@bashijo_soft,@softtennis.hit,,https://campus-map.jp/hit/club/9/,,週3回,,FALSE
体育会卓球部,一橋大学,運動系（スポーツ・アウトドア）,,@httc_shinkan22,@hit_u_tabletennis,,https://campus-map.jp/hit/club/27/,,,,FALSE
バスケットボール部,一橋大学,運動系（スポーツ・アウトドア）,,@rohninshinkan23,@rohnin1284,,https://lit.link/hitbbredpenguins,,,,FALSE
体育会バドミントン部,一橋大学,運動系（スポーツ・アウトドア）,,@hit_u_bad,@hitotsubashi_badminton,,https://jfn.josuikai.net/circle/sports/badminton/,,,,FALSE
男子バレーボール部,一橋大学,運動系（スポーツ・アウトドア）,,@hvc_shinkan,@hit_u_vbc,,https://hitvolley.hatenablog.com/entry/2024/03/18/122534,,毎日,,FALSE
女子バレーボール部,一橋大学,運動系（スポーツ・アウトドア）,,@hit_volleygirls,@hitotsubashi.girls.vbc_,,https://campus-map.jp/hit/club/66/,,週3回,,FALSE
体育会ハンドボール部,一橋大学,運動系（スポーツ・アウトドア）,,@hit_hand_2024,@hit_handball,,https://campus-map.jp/hit/club/48/,,週4回,,FALSE
端艇部,一橋大学,運動系（スポーツ・アウトドア）,,@HUBC_tsubuyaki,@hubc_boat,,https://ameblo.jp/hubc2021/entry-12890830934.html,54人,,,FALSE
ボクシング部,一橋大学,運動系（スポーツ・アウトドア）,,@hitoboxing,@hitotsudaboxing,,https://campus-map.jp/hit/club/110/,,週3回,,FALSE
体育会洋弓部,一橋大学,運動系（スポーツ・アウトドア）,,@1900hit_kyudo,@hit.kyudo2024,,https://hit-archery1963.com/index/link,,,,FALSE
体育会ヨット部,一橋大学,運動系（スポーツ・アウトドア）,,@huyc_shinkan,@hitotsubasail,,https://campus-map.jp/hit/club/103/,,週2日,,FALSE
