university,name,code,number,circleguide_url,status,source,twitter,instagram,line,website,email,search_status,nickname,youtube,tiktok,facebook,contact_method,description,appeal,genre,is_intercollege,campus,location_detail,activity_frequency,activity_schedule,atmosphere,camp_info,attendance_policy,member_count,gender_ratio,grade_composition,other_universities,founded_year,allows_dual_membership,accepts_late_entry,entry_requirements,fee_entry,fee_annual,fee_other,shinkan_info,events,achievements,sponsorship_history,external_activities,alumni_careers,annual_budget,event_attendance,photo_urls,extract_status
大阪大学,バレーボール部,体育系,,,公認,osaka_web,https://x.com/OU_Attack25,https://instagram.com/attack25_ou,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
大阪大学,バスケットボール部,体育系,,,公認,osaka_web,https://x.com/m61219120,https://instagram.com/labatts_osaka_u,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
大阪大学,サッカー部,体育系,,,公認,osaka_web,https://x.com/OsakaUnivsoccer,https://instagram.com/makihalala,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
大阪大学,ハンドボール部,体育系,,,公認,osaka_web,https://x.com/Osaka_u_hankyu,https://instagram.com/osaka_u.handball.hankyu,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
大阪大学,女子バスケットボール部,体育系,,,公認,osaka_web,https://x.com/ou_womensbasket,https://instagram.com/oubasket,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
大阪大学,ラクロス部,体育系,,,公認,osaka_web,https://x.com/osaka_lacrosse,https://instagram.com/osakalax_shinkan2026,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
大阪大学,女子ラクロス部,体育系,,,公認,osaka_web,https://x.com/osaka_lacrosse,https://instagram.com/osaka.w.lacrosse,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
大阪大学,アイセック,文化系,,,公認,osaka_web,https://x.com/aiesec_osaka,https://instagram.com/aiesec_jp_osaka,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
大阪大学,競技かるた会,文化系,,,公認,osaka_web,https://x.com/handaikaruta25,https://instagram.com/handai_karuta,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
大阪大学,お祭りダンスサークル祭楽人,文化系,,,公認,osaka_web,https://x.com/madani_tweet,https://instagram.com/madani_handai,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
